# fluera-phrases v2 lang=en built=2026-05-20 sha256=fbbf5185bf722d7d63a39380eefa36f18f85fc8cd2fa8be74a72cc4610c38621 rows=15501
phrase	domains	kind
antifibrotic agents	med	medical
antifoaming agents	med	medical
antifreeze proteins	med	medical
antifungal agents	med	medical
antigen presentation	med	medical
antigen receptors	med	medical
antigenic drift and shift	med	medical
antigenic modulation	med	medical
antigenic variation	med	medical
antigens differentiation myelomonocytic	med	medical
antigens viral tumor	med	medical
antiglaucoma agents	med	medical
antiglycation agents	med	medical
antigua and barbuda	med	medical
antihyperkalemic agents	med	medical
antihypertensive agents	med	medical
antilymphocyte serum	med	medical
antimanic agents	med	medical
antimicrobial cationic peptides	med	medical
antimicrobial peptides	med	medical
antimicrobial stewardship	med	medical
antimitotic agents	med	medical
antimony potassium tartrate	med	medical
antimony sodium gluconate	med	medical
antimutagenic agents	med	medical
antinematodal agents	med	medical
antineoplastic agents	med	medical
antineoplastic antibiotics	med	medical
antineoplastic antimetabolites	med	medical
antineoplastic combined chemotherapy protocols	med	medical
antineoplastic protocols	med	medical
antineutrophil cytoplasmic antibodies	med	medical
antinuclear antibodies	med	medical
antioxidant response elements	med	medical
antiparasitic agents	med	medical
antiparkinson agents	med	medical
antiphospholipid antibodies	med	medical
antiphospholipid syndrome	med	medical
antiplatyhelmintic agents	med	medical
antiprotozoal agents	med	medical
antipsychotic agents	med	medical
antirheumatic agents	med	medical
antisense dna	med	medical
antisense oligodeoxyribonucleotides	med	medical
antisense oligonucleotides	med	medical
antisense oligoribonucleotides	med	medical
antisense rna	med	medical
antisickling agents	med	medical
antisocial personality disorder	med	medical
antispermatogenic agents	med	medical
antistatic agents	med	medical
antithrombin iii	med	medical
antithrombin iii deficiency	med	medical
antithrombin proteins	med	medical
antithyroid agents	med	medical
antitreponemal agents	med	medical
antitrichomonal agents	med	medical
antitrust laws	med	medical
antitubercular agents	med	medical
antitubercular antibiotics	med	medical
antitumor drug screening assays	med	medical
antitussive agents	med	medical
antiviral agents	med	medical
antiviral restriction factors	med	medical
anus diseases	med	medical
anus neoplasms	med	medical
anxiety disorders	med	medical
aortic aneurysm	med	medical
aortic arch aneurysm	med	medical
aortic arch syndromes	med	medical
aortic bodies	med	medical
aortic coarctation	med	medical
aortic diseases	med	medical
aortic dissection	med	medical
aortic intramural hematoma	med	medical
aortic root aneurysm	med	medical
aortic rupture	med	medical
aortic valve	med	medical
aortic valve disease	med	medical
aortic valve insufficiency	med	medical
aortic valve prolapse	med	medical
aortic valve stenosis	med	medical
aortopulmonary septal defect	med	medical
aotus trivirgatus	med	medical
apc genes	med	medical
ape diseases	med	medical
apelin receptors	med	medical
apgar score	med	medical
aphorisms and proverbs	med	medical
aphthous stomatitis	med	medical
apical hypertrophic cardiomyopathy	med	medical
aplastic anemia	med	medical
apobec deaminases	med	medical
apocrine glands	med	medical
apoptosis inducing factor	med	medical
apoptosis regulatory proteins	med	medical
appalachian region	med	medical
apparent mineralocorticoid excess syndrome	med	medical
appendiceal neoplasms	med	medical
appetite depressants	med	medical
appetite regulation	med	medical
appetite stimulants	med	medical
appetitive behavior	med	medical
applied behavior analysis	med	medical
applied kinesiology	med	medical
applied psychology	med	medical
appointments and schedules	med	medical
aptitude tests	med	medical
apud cells	med	medical
apurinic acid	med	medical
aquatic organisms	med	medical
aquatic therapy	med	medical
aqueous humor	med	medical
arab world	med	medical
arabic medicine	med	medical
arabidopsis agamous protein	med	medical
arabidopsis proteins	med	medical
arabinofuranosylcytosine triphosphate	med	medical
arac genes	med	medical
arac transcription factor	med	medical
arachidonate lipoxygenases	med	medical
arachidonic acid	med	medical
arachidonic acids	med	medical
arachnid vectors	med	medical
arachnoid cysts	med	medical
araucaria araucana	med	medical
arbovirus encephalitis	med	medical
arbovirus infections	med	medical
archaeal antibodies	med	medical
archaeal antigens	med	medical
archaeal chromosomes	med	medical
archaeal dna	med	medical
archaeal gene expression regulation	med	medical
archaeal genes	med	medical
archaeal genome	med	medical
archaeal proteins	med	medical
archaeal rna	med	medical
archaeal viruses	med	medical
archaeoglobus fulgidus	med	medical
architectural accessibility	med	medical
architectural drawing	med	medical
arctic regions	med	medical
arcuate nucleus of hypothalamus	med	medical
arcus senilis	med	medical
area health education centers	med	medical
area postrema	med	medical
area under curve	med	medical
arenaria plant	med	medical
arenaviridae infections	med	medical
arginine kinase	med	medical
arginine vasopressin	med	medical
argininosuccinate lyase	med	medical
argininosuccinate synthase	med	medical
argininosuccinic acid	med	medical
argininosuccinic aciduria	med	medical
argon plasma coagulation	med	medical
argonaute proteins	med	medical
aristolochic acids	med	medical
arm bones	med	medical
arm injuries	med	medical
armadillo domain proteins	med	medical
armed conflicts	med	medical
arntl transcription factors	med	medical
aromatase inhibitors	med	medical
aromatic amino acids	med	medical
aromatic hydrocarbons	med	medical
arrhythmogenic right ventricular dysplasia	med	medical
arsanilic acid	med	medical
arsenate reductases	med	medical
arsenazo iii	med	medical
arsenic poisoning	med	medical
arsenic trioxide	med	medical
arsenite transporting atpases	med	medical
art therapy	med	medical
artemisia absinthium	med	medical
artemisia annua	med	medical
arterial occlusive diseases	med	medical
arterial pressure	med	medical
arterial switch operation	med	medical
arteriosclerosis obliterans	med	medical
arteriovenous anastomosis	med	medical
arteriovenous fistula	med	medical
arteriovenous malformations	med	medical
arterivirus infections	med	medical
arthroplasty replacement ankle	med	medical
arthroplasty replacement elbow	med	medical
arthroplasty replacement finger	med	medical
